			normal		wide
	0xB7	CH, DH		K, L
	0xB8	DH, AL		L, A
	0xB9	DH, BL		L, B
	0xBA	DH, CL		L, C
	0xBB	DH, DL		L, D
	0xBC	DH, AH		L, I
	0xBD	DH, BH		L, J
	0xBE	DH, CH		L, K
	0xBF	DH, DH		L, L
	
	0xC0	AL, i8		A, i16
	0xC1	AL, [i32]	A, [i32]
	0xC2	AL, [bi]	A, [bi]
	0xC3	AL, [bio]	A, [bio]
	0xC4	x, AL		x, A
	0xC5	[i32], AL	[i32], A
	0xC6	[bi], AL	[bi], A
	0xC7	[bio], AL	[bio], A
	0xC8	BL, i8		B, i16
	0xC9	BL, [i32]	B, [i32]
	0xCA	BL, [bi]	B, [bi]
	0xCB	BL, [bio]	B, [bio]
	0xCC	x, BL		x, B
	0xCD	[i32], BL	[i32], B
	0xCE	[bi], BL	[bi], B
	0xCF	[bio], BL	[bio], B
	
	0xD0	CL, i8		C, i16
	0xD1	CL, [i32]	C, [i32]
	0xD2	CL, [bi]	C, [bi]
	0xD3	CL, [bio]	C, [bio]
	0xD4	x, CL		x, C
	0xD5	[i32], CL	[i32], C
	0xD6	[bi], CL	[bi], C
	0xD7	[bio], CL	[bio], C
	0xD8	DL, i8		D, i16
	0xD9	DL, [i32]	D, [i32]
	0xDA	DL, [bi]	D, [bi]
	0xDB	DL, [bio]	D, [bio]
	0xDC	x, DL		x, D
	0xDD	[i32], DL	[i32], D
	0xDE	[bi], DL	[bi], D
	0xDF	[bio], DL	[bio], D
	
	0xE0	AH, i8		I, i16
	0xE1	AH, [i32]	I, [i32]
	0xE2	AH, [bi]	I, [bi]
	0xE3	AH, [bio]	I, [bio]
	0xE4	x, AH		x, I
	0xE5	[i32], AH	[i32], I
	0xE6	[bi], AH	[bi], I
	0xE7	[bio], AH	[bio], I
	0xE8	BH, i8		J, i16
	0xE9	BH, [i32]	J, [i32]
	0xEA	BH, [bi]	J, [bi]
	0xEB	BH, [bio]	J, [bio]
	0xEC	x, BH		x, J
	0xED	[i32], BH	[i32], J
	0xEE	[bi], BH	[bi], J
	0xEF	[bio], BH	[bio], J
	
	0xF0	CH, i8		K, i16
	0xF1	CH, [i32]	K, [i32]
	0xF2	CH, [bi]	K, [bi]
	0xF3	CH, [bio]	K, [bio]
	0xF4	x, CH		x, K
	0xF5	[i32], CH	[i32], K
	0xF6	[bi], CH	[bi], K
	0xF7	[bio], CH	[bio], K
	0xF8	DH, i8		L, i16
	0xF9	DH, [i32]	L, [i32]
	0xFA	DH, [bi]	L, [bi]
	0xFB	DH, [bio]	L, [bio]
	0xFC	x, DH		x, L
	0xFD	[i32], DH	[i32], L
	0xFE	[bi], DH	[bi], L
	0xFF	[bio], DH	[bio], L
