
	0xD9	L:K + 4*B + i32
	0xDA	L:K + 4*C + i32
	0xDB	L:K + 4*D + i32
	0xDC	L:K + 4*I + i32
	0xDD	L:K + 4*J + i32
	0xDE	L:K + 4*K + i32
	0xDF	L:K + 4*L + i32
	
	0xE0	XP + 4*A + i32
	0xE1	XP + 4*B + i32
	0xE2	XP + 4*C + i32
	0xE3	XP + 4*D + i32
	0xE4	XP + 4*I + i32
	0xE5	XP + 4*J + i32
	0xE6	XP + 4*K + i32
	0xE7	XP + 4*L + i32
	0xE8	YP + 4*A + i32
	0xE9	YP + 4*B + i32
	0xEA	YP + 4*C + i32
	0xEB	YP + 4*D + i32
	0xEC	YP + 4*I + i32
	0xED	YP + 4*J + i32
	0xEE	YP + 4*K + i32
	0xEF	YP + 4*L + i32
	
	0xF0	BP + 4*A + i32
	0xF1	BP + 4*B + i32
	0xF2	BP + 4*C + i32
	0xF3	BP + 4*D + i32
	0xF4	BP + 4*I + i32
	0xF5	BP + 4*J + i32
	0xF6	BP + 4*K + i32
	0xF7	BP + 4*L + i32
	0xF8	4*A + i32
	0xF9	4*B + i32
	0xFA	4*C + i32
	0xFB	4*D + i32
	0xFC	4*I + i32
	0xFD	4*J + i32
	0xFE	4*K + i32
	0xFF	4*L + i32
